soil_type,sowing_month,harvest_month,water_source,soil_ph,temperature,nitrogen_N,phosphorus_P,potassium_K,seed_variety
Black Soil,Jun,Sep,irrigated,7.6,29.0,119.1,52.2,57.9,Cyto-24
Red soil,Jul,Oct,rainfed,7.0,27.0,116.4,41.8,49.8,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.1,21.5,90.7,55.4,40.3,FH-333
Black Soil,Jul,Oct,rainfed,7.1,27.1,111.5,43.4,48.6,Cyto-24
Red soil,Jun,Sep,irrigated,7.3,26.1,88.3,51.6,54.5,BS-352
Alluvial soil,Jul,Oct,rainfed,7.3,27.1,114.6,55.5,51.6,FH-MR2
Black Soil,Jun,Sep,irrigated,7.2,26.8,81.0,54.5,53.2,FH-MR2
Red soil,Jul,Oct,rainfed,7.4,29.6,116.2,43.1,48.2,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.3,25.5,111.4,56.8,56.5,FH-MR2
Black Soil,Jul,Oct,rainfed,7.7,29.3,85.4,59.1,54.6,FH-1148
Red soil,Jun,Sep,irrigated,7.6,22.4,92.2,58.2,51.9,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.9,27.2,101.2,45.1,48.2,FH-1148
Black Soil,Jun,Sep,irrigated,7.5,24.1,98.5,43.8,54.5,FH-333
Red soil,Jul,Oct,rainfed,7.0,28.4,110.3,48.4,59.6,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.8,24.0,114.4,55.1,51.5,FH-MR2
Black Soil,Jul,Oct,rainfed,7.1,22.4,95.1,44.2,55.1,FH-333
Red soil,Jun,Sep,irrigated,7.9,29.4,94.4,42.6,48.7,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.5,26.8,84.0,59.5,56.2,FH-MR2
Black Soil,Jun,Sep,irrigated,7.1,22.4,114.2,41.2,58.8,Cyto-24
Red soil,Jul,Oct,rainfed,7.2,24.8,88.1,53.8,57.1,BS-352
Alluvial soil,Jun,Sep,irrigated,7.2,22.8,115.0,52.5,52.2,FH-333
Black Soil,Jul,Oct,rainfed,7.1,25.9,119.8,47.1,49.3,Cyto-24
Red soil,Jun,Sep,irrigated,7.5,29.1,90.5,59.0,58.0,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.0,28.4,83.8,45.9,59.6,BS-352
Black Soil,Jun,Sep,irrigated,7.9,22.1,82.8,48.0,44.3,FH-333
Red soil,Jul,Oct,rainfed,7.1,25.3,113.6,49.0,43.2,BS-352
Alluvial soil,Jun,Sep,irrigated,7.4,28.1,115.9,50.6,50.3,FH-1148
Black Soil,Jul,Oct,rainfed,7.8,26.2,116.9,54.3,51.0,Cyto-24
Red soil,Jun,Sep,irrigated,7.2,23.7,112.0,54.9,59.8,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.3,27.8,110.1,59.0,52.3,FH-MR2
Black Soil,Jun,Sep,irrigated,7.2,24.8,118.1,58.5,59.7,Cyto-24
Red soil,Jul,Oct,rainfed,7.1,22.0,111.1,51.2,44.3,FH-333
Alluvial soil,Jun,Sep,irrigated,7.8,25.5,87.9,52.4,45.5,BS-352
Black Soil,Jul,Oct,rainfed,7.8,24.3,83.1,40.9,41.3,BS-352
Red soil,Jun,Sep,irrigated,7.7,24.1,86.4,51.5,52.6,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.4,28.4,88.5,40.6,46.4,BS-352
Black Soil,Jun,Sep,irrigated,7.6,26.7,114.8,43.6,55.8,Cyto-24
Red soil,Jul,Oct,rainfed,7.5,23.9,119.1,51.2,49.3,FH-333
Alluvial soil,Jun,Sep,irrigated,7.9,26.1,91.4,53.0,51.3,FH-MR2
Black Soil,Jul,Oct,rainfed,7.6,23.9,84.0,56.6,58.5,Cyto-24
Red soil,Jun,Sep,irrigated,7.9,27.1,101.4,52.0,50.4,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.6,21.2,80.4,60.0,56.9,FH-MR2
Black Soil,Jun,Sep,irrigated,7.9,22.5,91.5,43.5,40.2,FH-333
Red soil,Jul,Oct,rainfed,7.2,21.1,93.7,45.2,56.9,FH-333
Alluvial soil,Jun,Sep,irrigated,7.4,29.5,100.8,53.8,49.0,FH-MR2
Black Soil,Jul,Oct,rainfed,7.7,28.5,101.7,46.2,55.9,FH-1148
Red soil,Jun,Sep,irrigated,7.7,24.1,85.4,46.2,49.2,BS-352
Alluvial soil,Jul,Oct,rainfed,7.2,22.0,106.4,55.8,58.0,FH-MR2
Black Soil,Jun,Sep,irrigated,7.5,23.8,89.5,58.0,45.6,FH-333
Red soil,Jul,Oct,rainfed,7.9,26.9,109.2,40.7,41.1,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.9,21.9,107.0,43.4,59.6,FH-333
Black Soil,Jul,Oct,rainfed,7.6,25.7,83.6,57.5,45.2,FH-MR2
Red soil,Jun,Sep,irrigated,7.1,27.6,88.5,59.4,47.7,BS-352
Alluvial soil,Jul,Oct,rainfed,7.8,27.2,102.1,55.0,59.1,FH-MR2
Black Soil,Jun,Sep,irrigated,7.6,27.3,80.0,40.7,50.1,FH-1148
Red soil,Jul,Oct,rainfed,7.5,21.3,112.0,53.5,51.5,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.5,21.8,87.9,51.9,55.7,FH-333
Black Soil,Jul,Oct,rainfed,7.8,26.9,88.7,59.2,41.0,BS-352
Red soil,Jun,Sep,irrigated,7.8,25.6,96.3,58.9,59.0,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.6,27.0,114.0,45.7,55.4,Cyto-24
Black Soil,Jun,Sep,irrigated,7.5,27.1,96.0,40.4,53.2,FH-1148
Red soil,Jul,Oct,rainfed,7.6,25.6,80.5,42.7,45.1,BS-352
Alluvial soil,Jun,Sep,irrigated,7.7,26.8,94.2,51.4,43.5,BS-352
Black Soil,Jul,Oct,rainfed,7.8,26.1,98.7,55.3,58.8,Cyto-24
Red soil,Jun,Sep,irrigated,7.3,28.0,87.9,41.3,57.5,BS-352
Alluvial soil,Jul,Oct,rainfed,7.9,29.1,81.2,55.0,58.1,Cyto-24
Black Soil,Jun,Sep,irrigated,7.0,21.0,80.3,54.9,45.8,FH-333
Red soil,Jul,Oct,rainfed,7.5,23.3,91.3,59.7,55.6,FH-333
Alluvial soil,Jun,Sep,irrigated,7.6,24.2,82.0,45.0,56.5,FH-333
Black Soil,Jul,Oct,rainfed,7.6,24.1,118.0,55.5,43.6,Cyto-24
Red soil,Jun,Sep,irrigated,7.2,26.8,112.2,41.4,52.6,BS-352
Alluvial soil,Jul,Oct,rainfed,7.6,24.8,92.9,46.4,56.6,FH-333
Black Soil,Jun,Sep,irrigated,7.2,25.8,90.6,43.2,48.6,BS-352
Red soil,Jul,Oct,rainfed,7.7,24.2,93.1,51.7,52.2,FH-1148
Alluvial soil,Jun,Sep,irrigated,7.7,24.7,90.4,57.7,46.2,FH-MR2
Black Soil,Jul,Oct,rainfed,7.5,24.0,110.1,51.2,53.0,FH-333
Red soil,Jun,Sep,irrigated,7.9,21.9,115.7,45.6,40.2,Cyto-24
Alluvial soil,Jul,Oct,rainfed,7.2,23.1,95.8,47.7,49.4,FH-333
Black Soil,Jun,Sep,irrigated,7.2,22.8,95.7,53.1,49.5,FH-333
Red soil,Jul,Oct,rainfed,7.5,23.7,95.2,50.6,58.8,FH-333
Alluvial soil,Jun,Sep,irrigated,7.2,27.1,96.6,56.0,50.0,FH-MR2
Black Soil,Jul,Oct,rainfed,7.8,21.8,106.8,54.4,56.4,Cyto-24
Red soil,Jun,Sep,irrigated,7.9,29.5,115.6,51.9,40.6,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.2,27.9,91.7,57.0,50.7,FH-MR2
Black Soil,Jun,Sep,irrigated,7.5,24.9,94.2,51.3,58.4,FH-333
Red soil,Jul,Oct,rainfed,7.8,23.0,119.5,46.3,47.0,FH-333
Alluvial soil,Jun,Sep,irrigated,7.3,21.5,118.5,48.4,57.7,FH-333
Black Soil,Jul,Oct,rainfed,7.3,28.1,106.8,59.2,47.9,FH-MR2
Red soil,Jun,Sep,irrigated,7.4,22.5,81.7,54.6,53.5,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.7,29.4,110.4,50.4,49.5,FH-1148
Black Soil,Jun,Sep,irrigated,7.2,23.3,100.7,52.7,53.6,FH-333
Red soil,Jul,Oct,rainfed,7.1,28.2,115.9,44.5,46.4,BS-352
Alluvial soil,Jun,Sep,irrigated,7.2,23.1,87.6,41.7,40.2,FH-333
Black Soil,Jul,Oct,rainfed,7.8,24.2,111.8,58.4,41.7,Cyto-24
Red soil,Jun,Sep,irrigated,7.4,21.7,98.5,55.7,45.8,FH-MR2
Alluvial soil,Jul,Oct,rainfed,7.8,28.0,83.2,41.2,45.5,BS-352
Black Soil,Jun,Sep,irrigated,7.1,25.9,82.9,44.0,55.6,BS-352
Red soil,Jul,Oct,rainfed,7.6,24.1,91.6,40.2,47.0,BS-352
Alluvial soil,Jun,Sep,irrigated,7.9,25.7,93.1,45.1,48.8,FH-333
Black Soil,Jul,Oct,rainfed,7.4,24.7,96.4,52.1,46.4,FH-333
Red soil,Jun,Sep,irrigated,7.7,23.1,104.0,49.5,49.7,FH-1148
Alluvial soil,Jul,Oct,rainfed,7.2,24.7,88.1,49.2,45.1,BS-352
Black Soil,Jun,Sep,irrigated,7.8,27.6,84.4,50.2,43.9,BS-352
Red soil,Jul,Oct,rainfed,7.4,24.3,95.8,43.7,48.6,FH-333
Alluvial soil,Jun,Sep,irrigated,7.7,24.3,116.2,50.2,52.7,Cyto-24
Black Soil,Jul,Oct,rainfed,7.7,24.9,84.7,57.7,46.1,FH-MR2
Red soil,Jun,Sep,irrigated,7.4,24.3,91.1,58.2,40.5,BS-352
Alluvial soil,Jul,Oct,rainfed,7.8,29.7,107.5,55.8,56.1,FH-1148
Black Soil,Jun,Sep,irrigated,7.1,23.4,89.8,59.7,46.2,FH-333
Red soil,Jul,Oct,rainfed,7.2,23.1,87.8,58.5,47.9,FH-333
Alluvial soil,Jun,Sep,irrigated,7.1,25.7,98.8,53.3,55.8,FH-MR2
Black Soil,Jul,Oct,rainfed,7.9,21.2,82.7,51.0,47.1,FH-333
Red soil,Jun,Sep,irrigated,7.1,29.2,83.4,51.7,43.2,BS-352
Alluvial soil,Jul,Oct,rainfed,7.8,24.4,106.2,55.9,53.1,FH-MR2
Black Soil,Jun,Sep,irrigated,7.1,30.0,86.1,58.3,54.0,BS-352
Red soil,Jul,Oct,rainfed,7.1,26.9,93.2,49.8,55.5,BS-352
Alluvial soil,Jun,Sep,irrigated,7.1,26.3,92.4,50.4,51.1,FH-333
Black Soil,Jul,Oct,rainfed,7.8,21.5,115.3,41.0,40.1,Cyto-24
Red soil,Jun,Sep,irrigated,7.3,26.0,112.9,52.7,53.7,FH-MR2
Alluvial soil,Jul,Oct,rainfed,8.0,25.3,99.7,50.4,55.2,FH-MR2
Black Soil,Jun,Sep,irrigated,7.2,23.2,93.1,56.7,47.5,FH-333
Red soil,Jul,Oct,rainfed,7.3,24.4,89.7,54.5,58.2,BS-352
