soil_type,sowing_month,harvest_month,water_source,soil_ph,temperature,nitrogen_N,phosphorus_P,potassium_K,seed_variety
Alluvial soil,Jun,Sep,irrigated,7.6,26.9,82.4,40.7,42.2,Basmati
Loamy soil,Jul,Oct,rainfed,6.2,35.8,90.5,51.3,46.2,IRRI-6
Clay soil,Jun,Sep,irrigated,6.7,34.9,86.2,50.7,44.4,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.1,28.3,91.3,51.3,44.5,Super Basmati
Loamy soil,Jun,Sep,irrigated,8.0,26.3,81.3,48.6,51.0,Basmati
Clay soil,Jul,Oct,rainfed,7.9,28.3,97.6,40.1,56.3,1509 Rice
Alluvial soil,Jun,Sep,irrigated,7.3,25.7,84.2,54.4,43.0,Super Basmati
Loamy soil,Jul,Oct,rainfed,6.4,34.4,96.0,40.2,52.7,1509 Rice
Clay soil,Jun,Sep,irrigated,5.6,25.1,90.7,48.5,40.4,IRRI-6
Alluvial soil,Jul,Oct,rainfed,5.9,26.4,87.6,59.2,42.5,Super Basmati
Loamy soil,Jun,Sep,irrigated,7.5,33.6,88.8,52.5,56.6,1509 Rice
Clay soil,Jul,Oct,rainfed,7.1,35.3,86.9,54.1,59.4,1509 Rice
Alluvial soil,Jun,Sep,irrigated,6.3,21.5,83.4,59.8,47.6,Basmati
Loamy soil,Jul,Oct,rainfed,6.4,32.8,89.9,44.3,47.1,1509 Rice
Clay soil,Jun,Sep,irrigated,6.9,22.8,86.3,53.3,57.8,1509 Rice
Alluvial soil,Jul,Oct,rainfed,8.0,27.6,98.7,45.9,50.0,Kainat-1121
Loamy soil,Jun,Sep,irrigated,7.0,27.9,91.8,53.3,53.9,1509 Rice
Clay soil,Jul,Oct,rainfed,5.0,34.9,84.3,54.6,50.8,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.6,28.5,87.9,47.6,53.8,1509 Rice
Loamy soil,Jul,Oct,rainfed,6.1,37.5,84.3,59.4,53.5,Super Basmati
Clay soil,Jun,Sep,irrigated,5.8,23.5,86.7,59.4,44.7,Basmati
Alluvial soil,Jul,Oct,rainfed,7.7,28.6,99.5,42.3,40.6,Kainat-1121
Loamy soil,Jun,Sep,irrigated,7.1,34.6,94.5,49.6,59.4,1509 Rice
Clay soil,Jul,Oct,rainfed,6.0,34.9,85.2,54.9,53.1,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.9,26.2,88.5,42.7,57.3,Super Basmati
Loamy soil,Jul,Oct,rainfed,7.5,31.6,97.2,48.5,49.1,Kainat-1121
Clay soil,Jun,Sep,irrigated,6.1,20.2,99.8,54.4,44.8,Basmati
Alluvial soil,Jul,Oct,rainfed,6.7,32.2,92.9,51.9,53.7,Kainat-1121
Loamy soil,Jun,Sep,irrigated,5.8,37.2,95.9,57.5,54.5,1509 Rice
Clay soil,Jul,Oct,rainfed,6.8,31.6,93.6,45.0,55.1,1509 Rice
Alluvial soil,Jun,Sep,irrigated,7.6,20.9,80.2,40.4,56.5,Basmati
Loamy soil,Jul,Oct,rainfed,6.5,26.9,99.6,46.9,44.0,Basmati
Clay soil,Jun,Sep,irrigated,6.3,30.0,96.8,43.2,58.9,1509 Rice
Alluvial soil,Jul,Oct,rainfed,5.4,30.3,89.0,53.6,44.0,Super Basmati
Loamy soil,Jun,Sep,irrigated,7.7,35.5,91.3,53.6,56.5,1509 Rice
Clay soil,Jul,Oct,rainfed,5.0,30.8,87.7,42.4,58.2,IRRI-6
Alluvial soil,Jun,Sep,irrigated,5.5,26.7,99.6,46.1,53.9,Kainat-1121
Loamy soil,Jul,Oct,rainfed,5.1,36.6,80.8,46.8,59.9,IRRI-6
Clay soil,Jun,Sep,irrigated,6.0,39.2,82.2,44.4,56.6,IRRI-6
Alluvial soil,Jul,Oct,rainfed,6.8,22.7,90.7,41.5,59.6,Kainat-1121
Loamy soil,Jun,Sep,irrigated,7.8,34.1,99.3,58.1,50.5,Super Basmati
Clay soil,Jul,Oct,rainfed,5.2,38.3,97.6,47.1,58.3,IRRI-6
